Gender,State (Location), 10th percentage, 12th percentage,Difference,Degree of study,Specialization in study, College percentage,Age, English 1,English 2,English 3,English 4,Quantitative Ability 1,Quantitative Ability 2,Quantitative Ability 3,Quantitative Ability 4,Domain Skills 1,Domain Skills 2,Domain Test 3,Domain Test 4,Analytical Skills 1,Analytical Skills 2,Analytical Skills 3,Performance
B,A,90.3,96,2,X,C,85,12,54.71698113,66.87898089,56.36363636,97.54601227,29.50819672,67.66467066,47.48603352,49.13294798,21.42857143,45.32374101,43.44827586,54.74452555,60,58.2278481,72.4137931,MP
A,B,85,65.33,2,X,B,65.25,13,33.96226415,65.60509554,63.63636364,59.50920245,50.81967213,76.04790419,62.01117318,53.75722543,32.14285714,52.51798561,61.37931034,51.82481752,63.63636364,37.97468354,83.90804598,LP
B,A,77.4,81.8,2,X,B,75.51,12,33.96226415,59.23566879,63.63636364,55.82822086,63.93442623,73.65269461,76.53631285,54.9132948,58.92857143,75.53956835,71.03448276,70.80291971,70.90909091,73.41772152,70.11494253,BP
B,C,90.16,95.3,3,X,B,77.8,12,45.28301887,64.33121019,61.21212121,65.64417178,32.78688525,50.89820359,57.54189944,46.82080925,42.85714286,71.22302158,53.10344828,56.20437956,40,65.82278481,28.73563218,BP
A,A,86.5,85.4,2,X,B,75,13,60.37735849,74.52229299,72.12121212,71.7791411,42.62295082,65.26946108,57.54189944,58.38150289,46.42857143,68.34532374,55.86206897,70.80291971,76.36363636,68.35443038,79.31034483,BP
A,C,89.33,91.1,2,X,B,68.75,12,64.1509434,71.97452229,67.27272727,82.82208589,78.68852459,86.82634731,66.48044693,80.34682081,57.14285714,84.17266187,80.68965517,54.74452555,70.90909091,75.94936709,67.81609195,MP
B,C,92,94.6,2,X,B,84,13,56.60377358,84.7133758,67.27272727,70.55214724,67.21311475,82.03592814,58.65921788,60.69364162,46.42857143,58.27338129,53.10344828,82.48175182,74.54545455,65.82278481,79.31034483,BP
A,A,83.27,90.5,2,X,B,74.93,12,67.9245283,69.42675159,81.81818182,80.36809816,54.09836066,61.67664671,69.83240223,56.06936416,53.57142857,69.78417266,58.62068966,79.5620438,85.45454545,88.60759494,81.6091954,BP
B,D,81,93,2,X,L,77,14,77.35849057,73.24840764,85.45454545,81.59509202,32.78688525,54.49101796,50.83798883,58.38150289,39.28571429,56.83453237,55.86206897,66.42335766,43.63636364,70.88607595,33.33333333,MP
B,A,89.09,93.75,2,X,B,84.43,13,32.0754717,55.41401274,52.72727273,77.91411043,21.31147541,49.7005988,45.25139665,52.60115607,46.42857143,69.78417266,60,62.04379562,50.90909091,68.35443038,42.52873563,BP
B,A,93.5,92.5,2,X,I,78.68,12,69.81132075,78.34394904,75.75757576,81.59509202,31.14754098,58.08383234,63.12849162,65.31791908,33.92857143,48.20143885,60,76.64233577,74.54545455,73.41772152,79.31034483,MP
A,A,86.36,94.25,2,X,B,70.83,13,35.8490566,60.50955414,47.87878788,70.55214724,44.26229508,49.7005988,67.59776536,64.16184971,21.42857143,43.88489209,60,45.98540146,63.63636364,68.35443038,63.2183908,BP
A,E,84.96,85.16,2,X,B,71.15,13,26.41509434,59.23566879,52.72727273,65.64417178,47.54098361,68.86227545,57.54189944,51.44508671,35.71428571,75.53956835,48.96551724,48.90510949,72.72727273,75.94936709,74.71264368,BP
B,C,84.83,93.4,2,X,B,74.79,12,39.62264151,61.78343949,61.21212121,69.32515337,47.54098361,65.26946108,57.54189944,64.16184971,30.35714286,53.95683453,43.44827586,63.50364964,67.27272727,70.88607595,67.81609195,BP
B,A,85.2,96.66,2,X,C,86.56,13,32.0754717,56.68789809,53.93939394,63.19018405,22.95081967,47.30538922,49.72067039,53.75722543,51.78571429,66.90647482,68.27586207,66.42335766,78.18181818,60.75949367,86.20689655,BP
A,F,81,72,2,X,B,79.28,12,62.26415094,88.53503185,75.75757576,66.87116564,36.06557377,54.49101796,55.30726257,56.06936416,35.71428571,53.95683453,71.03448276,50.3649635,47.27272727,73.41772152,35.63218391,BP
A,E,80.8,74.5,6,X,B,63.35,13,26.41509434,61.78343949,60,63.19018405,8.196721311,50.89820359,44.13407821,53.75722543,28.57142857,52.51798561,48.96551724,53.28467153,NaN,55.69620253,17.24137931,LP
B,C,77.33,91.6,2,X,C,78.1,13,20.75471698,63.05732484,52.72727273,49.69325153,37.70491803,53.29341317,50.83798883,66.47398844,41.07142857,62.58992806,57.24137931,63.50364964,43.63636364,37.97468354,47.12643678,MP
A,A,81.4,67,2,X,B,72.28,13,52.83018868,73.24840764,62.42424242,69.32515337,29.50819672,55.68862275,67.59776536,65.31791908,51.78571429,72.6618705,66.89655172,62.04379562,NaN,83.5443038,67.81609195,BP
A,A,79.06,63.83,2,X,L,78,13,64.1509434,84.7133758,68.48484848,77.91411043,44.26229508,61.67664671,68.7150838,61.84971098,23.21428571,42.44604317,50.34482759,69.34306569,69.09090909,73.41772152,70.11494253,LP
A,A,81.36,87.67,2,X,B,69.52,13,73.58490566,78.34394904,81.81818182,86.50306748,42.62295082,58.08383234,68.7150838,68.78612717,60.71428571,82.73381295,66.89655172,70.80291971,80,83.5443038,77.01149425,BP
A,A,88.2,93.92,2,X,L,77.23,13,60.37735849,79.61783439,69.6969697,74.23312883,26.2295082,48.50299401,55.30726257,58.38150289,32.14285714,59.71223022,42.06896552,57.66423358,54.54545455,70.88607595,47.12643678,BP
A,C,88.16,89.2,2,X,I,77.95,12,67.9245283,74.52229299,63.63636364,80.36809816,52.45901639,65.26946108,66.48044693,52.60115607,44.64285714,65.4676259,50.34482759,67.88321168,61.81818182,55.69620253,67.81609195,LP
A,A,83.4,80.66,2,X,D,74.85,14,39.62264151,65.60509554,66.06060606,57.05521472,NaN,65.26946108,65.36312849,64.16184971,21.42857143,45.32374101,35.17241379,64.96350365,76.36363636,60.75949367,81.6091954,BP
A,G,75,70,2,X,B,80,13,39.62264151,70.70063694,56.36363636,61.96319018,27.86885246,56.88622754,46.36871508,53.75722543,32.14285714,76.97841727,35.17241379,51.82481752,72.72727273,86.07594937,70.11494253,BP
B,A,96.6,94.5,2,X,B,85.29,12,64.1509434,83.43949045,75.75757576,66.87116564,39.3442623,52.09580838,65.36312849,53.75722543,55.35714286,72.6618705,62.75862069,73.72262774,78.18181818,65.82278481,86.20689655,BP
A,A,73.4,69.4,2,X,C,76.76,12,39.62264151,63.05732484,67.27272727,59.50920245,39.3442623,56.88622754,57.54189944,74.56647399,25,74.10071942,54.48275862,45.98540146,78.18181818,83.5443038,74.71264368,BP
A,C,85.5,94.9,2,X,B,77.19,12,54.71698113,64.33121019,58.78787879,76.68711656,62.29508197,74.8502994,68.7150838,79.19075145,58.92857143,79.85611511,54.48275862,79.5620438,74.54545455,63.29113924,83.90804598,BP
A,A,83,93.25,2,X,B,71.01,12,28.30188679,66.87898089,55.15151515,55.82822086,34.42622951,60.47904192,70.94972067,52.60115607,26.78571429,52.51798561,37.93103448,53.28467153,69.09090909,81.01265823,63.2183908,MP
A,A,80.55,89.25,2,X,B,77.67,12,13.20754717,49.04458599,49.09090909,57.05521472,39.3442623,55.68862275,57.54189944,59.53757225,48.21428571,76.97841727,50.34482759,73.72262774,61.81818182,60.75949367,65.51724138,BP
A,A,93.8,90.83,2,X,B,78,12,49.05660377,69.42675159,63.63636364,66.87116564,57.37704918,78.44311377,65.36312849,56.06936416,71.42857143,88.48920863,73.79310345,67.88321168,78.18181818,78.48101266,79.31034483,BP
B,A,82.6,92.25,2,X,C,76.7,13,47.16981132,59.23566879,66.06060606,69.32515337,55.73770492,67.66467066,66.48044693,59.53757225,5.357142857,23.74100719,40.68965517,59.12408759,52.72727273,81.01265823,40.22988506,LP
